{PERIODS};ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
1;1.09E-04;0.000114155;0;6.77E-06;0.000114155;0;0.236;0;0.66131025;0.174718395;0;0;0.0001
2;1.04E-04;0.000114155;0;3.75E-06;0.000114155;0;0.218;0;0.577786563;0.177088607;0;0;0.0001
3;9.63E-05;0.000114155;0;2.38E-06;0.000114155;0;0.224;0;0.537201804;0.180474622;0;0;0.0001
4;9.23E-05;0.000114155;0;8.30E-06;0.000114155;0;0.244;0;0.503975588;0.178104411;0;0;0.0001
5;8.83E-05;0.000114155;0;2.49E-05;0.000114155;0;0.28;0;0.47923566;0.192664277;0;0;0.0001
6;8.47E-05;0.000114155;0;6.93E-05;0.000114155;0;0.26;0;0.418351473;0.19537309;0;0;0.0001
7;7.59E-05;0.000114155;0;0.000143;0.000114155;0;0.177;0;0.377907682;0.198759106;0;0;0.0001
8;7.72E-05;0.000114155;0;0.00019;0.000114155;0;0.327;0;0.399955117;0.193341481;0;0;0.0001
9;8.20E-05;0.000114155;0;0.000168;0.000114155;0;0.408;0;0.412473097;0.254289758;0;0;0.0001
10;8.58E-05;0.000114155;0;0.000165;0.000114155;0.10428;0.43;0;0.447771547;0.236005275;0;0.119371393;0.0001
11;0.0000897;0.000114155;0;0.000179;0.000114155;0.20327;0.431;0;0.502551809;0.178104411;0;0.170461233;0.0001
12;0.0000966;0.000114155;0;0.000196;0.000114155;0.27737;0.425;0;0.556204324;0.209255752;0;0.188303441;0.0001
13;0.000102;0.000114155;0;0.000195;0.000114155;0.46553;0.431;0;0.576235912;0.223815619;0;0.378754556;0.0001
14;0.000106;0.000114155;0;0.000185;0.000114155;0.50861;0.432;0;0.612986334;0.224492823;0;0.34247127;0.0001
15;1.11E-04;0.000114155;0;0.000199;0.000114155;0.61132;0.419;0;0.598198766;0.440182005;0;0.490485188;0.0001
16;1.13E-04;0.000114155;0;0.000216;0.000114155;0.19572;0.402;0;0.632129823;0.438827598;0;0.06279879;0.0001
17;0.000112;0.000114155;0;0.000224;0.000114155;0.32179;0.35;0;0.607883283;0.459482293;0;0.172443701;0.0001
18;0.00011;0.000114155;0;0.000198;0.000114155;0.20859;0.398;0;0.577053528;0.736458354;0;0.017212362;0.0001
19;0.000111;0.000114155;0;0.000137;0.000114155;0.09991;0.475;0;0.684118913;0.891876461;0;0.001383597;0.0001
20;0.000133;0.000114155;0;9.07E-05;0.000114155;0.08105;0.469;0;0.831205184;0.88273422;0;0.014827205;0.0001
21;0.000134;0.000114155;0;6.33E-05;0.000114155;0.07324;0.463;0;0.748005723;0.871560368;0;0.031574926;0.0001
22;0.000131;0.000114155;0;4.11E-05;0.000114155;0.00898;0.589;0;0.626646158;0.798422436;0;0.009736807;0.0001
23;0.000125;0.000114155;0;2.46E-05;0.000114155;0;0.655;0;0.612788978;0.287134108;0;0;0.0001
24;1.17E-04;0.000114155;0;8.08E-06;0.000114155;0;0.669;0;0.563999868;0.166253357;0;0;0.0001
25;1.08E-04;0.000114155;0;6.77E-06;0.000114155;0;0.651;0;0.582410322;0.430286377;0;0;0.0001
26;9.97E-05;0.000114155;0;3.75E-06;0.000114155;0;0.662;0;0.584200619;0.43081121;0;0;0.0001
27;9.45E-05;0.000114155;0;2.38E-06;0.000114155;0;0.668;0;0.592926552;0.45615553;0;0;0.0001
28;8.22E-05;0.000114155;0;8.30E-06;0.000114155;0;0.64;0;0.583664939;0.452947275;0;0;0.0001
29;7.94E-05;0.000114155;0;2.49E-05;0.000114155;0;0.562;0;0.599580255;0.454614892;0;0;0.0001
30;7.65E-05;0.000114155;0;6.93E-05;0.000114155;0;0.439;0;0.619978361;0.458161752;0;0;0.0001
31;7.24E-05;0.000114155;0;0.000143;0.000114155;0;0.468;0;0.604288594;0.447504261;0;0;0.0001
32;7.48E-05;0.000114155;0;0.00019;0.000114155;0;0.74;0;0.580591832;0.410723668;0;0;0.0001
33;0.0000822;0.000114155;0;0.000168;0.000114155;0;0.826;0;0.628577423;0.271219835;0;0;0.0001
34;0.0000956;0.000114155;0;0.000165;0.000114155;0.00039;0.86;0;0.607728219;0.326411886;0;0;0.0001
35;0.000104437;0.000114155;0;0.000179;0.000114155;0.01913;0.863;0;0.589303669;0.365351063;0;0;0.0001
36;0.000107233;0.000114155;0;0.000196;0.000114155;0.08395;0.843;0;0.623305211;0.362980853;0;0.015715185;0.0001
