{PERIODS};ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
1;1.15E-04;0.000114155;0;6.77E-06;0.000114155;0;0.001481481;0;0.66131025;0.174718395;0.039802421;0;0
2;1.04E-04;0.000114155;0;3.75E-06;0.000114155;0;0.001481481;0;0.577786563;0.177088607;0.175270029;0;0
3;9.46E-05;0.000114155;0;2.38E-06;0.000114155;0;0.004074074;0;0.537201804;0.180474622;0.22268354;0;0
4;8.89E-05;0.000114155;0;8.30E-06;0.000114155;0;0.007407407;0;0.503975588;0.178104411;0.140092053;0;0
5;8.59E-05;0.000114155;0;2.49E-05;0.000114155;0;0.002592593;0;0.47923566;0.192664277;0.041146591;0;0
6;8.22E-05;0.000114155;0;6.93E-05;0.000114155;0;0.002962963;0;0.418351473;0.19537309;0.00135751;0;0
7;6.83E-05;0.000114155;0;0.000143;0.000114155;0;0.003703704;0;0.377907682;0.198759106;0.005310054;0;0
8;7.18E-05;0.000114155;0;0.00019;0.000114155;0;0.002592593;0;0.399955117;0.193341481;0.068734206;0;0
9;7.72E-05;0.000114155;0;0.000168;0.000114155;0;0.002592593;0;0.412473097;0.254289758;0.098975393;0;0.255084838
10;8.14E-05;0.000114155;0;0.000165;0.000114155;0.00145;0.002592593;0;0.447771547;0.236005275;0.064153486;0;0.395126058
11;8.61E-05;0.000114155;0;0.000179;0.000114155;0.01508;0.002222222;0;0.502551809;0.178104411;0.022253443;0;0.381849302
12;8.91E-05;0.000114155;0;0.000196;0.000114155;0.16173;0.002962963;0;0.556204324;0.209255752;0.001337349;0.097580038;0.329796639
13;9.02E-05;0.000114155;0;0.000195;0.000114155;0.26328;0.05;0;0.576235912;0.223815619;0.046976286;0.117547823;0.35615768
14;8.93E-05;0.000114155;0;0.000185;0.000114155;0.35191;0.034444444;0;0.612986334;0.224492823;0.203356673;0.218425643;0.397326716
15;8.72E-05;0.000114155;0;0.000199;0.000114155;0.4044;0.023333333;0;0.598198766;0.440182005;0.25924941;0.166871587;0.444699015
16;8.69E-05;0.000114155;0;0.000216;0.000114155;0.43054;0.024814815;0;0.632129823;0.438827598;0.162203552;0.169416407;0.406396324
17;8.65E-05;0.000114155;0;0.000224;0.000114155;0.53561;0.095925926;0;0.607883283;0.459482293;0.047516238;0.276823073;0
18;8.75E-05;0.000114155;0;0.000198;0.000114155;0.27906;0.284814815;0;0.577053528;0.736458354;0.001440179;0.077536004;0
19;8.96E-05;0.000114155;0;1.37E-04;0.000114155;0.3906;0.195925926;0;0.684118913;0.891876461;0.007014863;0.214289118;0
20;1.22E-04;0.000114155;0;9.07E-05;0.000114155;0.12118;0.134814815;0;0.831205184;0.88273422;0.082420653;0;0
21;1.33E-04;0.000114155;0;6.33E-05;0.000114155;0.03462;0.022962963;0;0.748005723;0.871560368;0.114894415;0;0
