Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;Units
Electricity;baseload;ELECTRICITY;59.23613098;51.26964025;73.15110345;0;[GWh]. 
Electricity;variable;ELECTRICITY_VAR;12.94100715;18.37218155;73.15110345;0;[GWh]
Heat;high temperature;HEAT_HIGH_T;0;2.42425621;919.0794859;0;[GWh]
Heat;space heating;HEAT_LOW_T_SH;0;0;0;0;[GWh]
Heat;hot water;HEAT_LOW_T_HW;58.36857502;0;0;0;[GWh]
Heat;cooking;COOKING;264.3186183;12.2535958;0;0;[GWh] 
Cold;process cooling;PROCESS_COOLING;0;0;0;0;[GWh]
Cold;space cooling;SPACE_COOLING;0;0;0;0;[GWh]
Mobility;passenger;MOBILITY_PASSENGER;0;0;0;8603.205261;[Mpkm]
Mobility;freight;MOBILITY_FREIGHT;0;0;0;671.1201946;[Mtkm]
Non energy;Non energy;NON_ENERGY;0;0;7.2564807;0;[GWh]
