{PERIODS};ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
1;1.42E-04;0.000114155;0;6.77E-06;0.000114155;0;0.103;0;0.66131025;0.174718395;0;0;0.0001
2;1.29E-04;0.000114155;0;3.75E-06;0.000114155;0;0.127;0;0.577786563;0.177088607;0;0;0.0001
3;1.02E-04;0.000114155;0;2.38E-06;0.000114155;0;0.148;0;0.537201804;0.180474622;0;0;0.0001
4;8.37E-05;0.000114155;0;8.30E-06;0.000114155;0;0.164;0;0.503975588;0.178104411;0;0;0.0001
5;7.61E-05;0.000114155;0;2.49E-05;0.000114155;0;0.177;0;0.47923566;0.192664277;0;0;0.0001
6;7.09E-05;0.000114155;0;6.93E-05;0.000114155;0;0.169;0;0.418351473;0.19537309;0;0;0.0001
7;6.10E-05;0.000114155;0;0.000143;0.000114155;0;0.076;0;0.377907682;0.198759106;0;0;0.0001
8;6.43E-05;0.000114155;0;0.00019;0.000114155;0;0.056;0;0.399955117;0.193341481;0;0;0.0001
9;6.93E-05;0.000114155;0;0.000168;0.000114155;0;0.028;0;0.412473097;0.254289758;0;0;0.0001
10;7.36E-05;0.000114155;0;0.000165;0.000114155;0.00512;0.023;0;0.447771547;0.236005275;0;0;0.0001
11;0.0000778;0.000114155;0;0.000179;0.000114155;0.55417;0.044;0;0.502551809;0.178104411;0;0.484301812;0.0001
12;0.0000805;0.000114155;0;0.000196;0.000114155;0.61268;0.114;0;0.556204324;0.209255752;0;0.531020147;0.0001
13;0.0000806;0.000114155;0;0.000195;0.000114155;0.61066;0.263;0;0.576235912;0.223815619;0;0.546511409;0.0001
14;0.0000781;0.000114155;0;0.000185;0.000114155;0.55182;0.434;0;0.612986334;0.224492823;0;0.431422713;0.0001
15;7.90E-05;0.000114155;0;0.000199;0.000114155;0.58508;0.551;0;0.598198766;0.440182005;0;0.494478828;0.0001
16;8.00E-05;0.000114155;0;0.000216;0.000114155;0.54555;0.518;0;0.632129823;0.438827598;0;0.416627476;0.0001
17;0.0000797;0.000114155;0;0.000224;0.000114155;0.54172;0.347;0;0.607883283;0.459482293;0;0.429372261;0.0001
18;0.0000795;0.000114155;0;0.000198;0.000114155;0.4723;0.173;0;0.577053528;0.736458354;0;0.331458455;0.0001
19;0.0000844;0.000114155;0;0.000137;0.000114155;0.48764;0.069;0;0.684118913;0.891876461;0;0.390564157;0.0001
20;0.000108;0.000114155;0;9.07E-05;0.000114155;0.42679;0.03;0;0.831205184;0.88273422;0;0.309326737;0.0001
21;0.000117;0.000114155;0;6.33E-05;0.000114155;0.43281;0.029;0;0.748005723;0.871560368;0;0.365516658;0.0001
22;0.000112;0.000114155;0;4.11E-05;0.000114155;0.00217;0.041;0;0.626646158;0.798422436;0;0;0.0001
23;0.0001;0.000114155;0;2.46E-05;0.000114155;0;0.069;0;0.612788978;0.287134108;0;0;0.0001
24;9.11E-05;0.000114155;0;8.08E-06;0.000114155;0;0.092;0;0.563999868;0.166253357;0;0;0.0001
25;8.31E-05;0.000114155;0;6.77E-06;0.000114155;0;0.108;0;0.582410322;0.430286377;0;0;0.0001
26;7.77E-05;0.000114155;0;3.75E-06;0.000114155;0;0.122;0;0.584200619;0.43081121;0;0;0.0001
27;7.41E-05;0.000114155;0;2.38E-06;0.000114155;0;0.129;0;0.592926552;0.45615553;0;0;0.0001
28;7.23E-05;0.000114155;0;8.30E-06;0.000114155;0;0.122;0;0.583664939;0.452947275;0;0;0.0001
29;7.19E-05;0.000114155;0;2.49E-05;0.000114155;0;0.105;0;0.599580255;0.454614892;0;0;0.0001
30;7.48E-05;0.000114155;0;6.93E-05;0.000114155;0;0.094;0;0.619978361;0.458161752;0;0;0.0001
31;7.40E-05;0.000114155;0;0.000143;0.000114155;0;0.047;0;0.604288594;0.447504261;0;0;0.0001
32;8.12E-05;0.000114155;0;0.00019;0.000114155;0;0.102;0;0.580591832;0.410723668;0;0;0.0001
33;0.0000887;0.000114155;0;0.000168;0.000114155;0;0.134;0;0.628577423;0.271219835;0;0;0.0001
34;0.0000948;0.000114155;0;0.000165;0.000114155;0.00763;0.146;0;0.607728219;0.326411886;0;0;0.0001
35;0.0000965;0.000114155;0;0.000179;0.000114155;0.46443;0.132;0;0.589303669;0.365351063;0;0.412385485;0.0001
36;0.000102178;0.000114155;0;0.000196;0.000114155;0.64808;0.102;0;0.623305211;0.362980853;0;0.581275043;0.0001
37;0.000102556;0.000114155;0;0.000195;0.000114155;0.6931;0.104;0;0.586286948;0.367044072;0;0.669388062;0.0001
38;0.000100732;0.000114155;0;0.000185;0.000114155;0.67685;0.12;0;0.612845367;0.571517079;0;0.594414869;0.0001
39;0.000103156;0.000114155;0;0.000199;0.000114155;0.64048;0.131;0;0.619654133;0.561435218;0;0.611091255;0.0001
40;0.000112463;0.000114155;0;0.000216;0.000114155;0.6427;0.122;0;0.61345153;0.566302618;0;0.55283207;0.0001
41;0.000111558;0.000114155;0;0.000224;0.000114155;0.67441;0.096;0;0.610815424;0.551217919;0;0.627598337;0.0001
42;0.000113181;0.000114155;0;0.000198;0.000114155;0.52727;0.062;0;0.551481888;0.781797093;0;0.428027239;0.0001
43;0.000115028;0.000114155;0;0.000137;0.000114155;0.44706;0.022;0;0.692238685;0.86619353;0;0.365657744;0.0001
44;0.000143431;0.000114155;0;9.07E-05;0.000114155;0.61413;0.004;0;0.801714627;0.872000551;0;0.583532422;0.0001
45;0.000151971;0.000114155;0;6.33E-05;0.000114155;0.37026;0.002;0;0.765302529;0.861292282;0;0.35311048;0.0001
46;0.000146;0.000114155;0;4.11E-05;0.000114155;0.00158;0.009;0;0.699921453;0.863611698;0;0;0.0001
47;0.000133;0.000114155;0;2.46E-05;0.000114155;0;0.018;0;0.629620587;0.584290815;0;0;0.0001
48;0.000116;0.000114155;0;8.08E-06;0.000114155;0;0.023;0;0.663650324;0.231264853;0;0;0.0001
49;1.04E-04;0.000114155;0;6.77E-06;0.000114155;0;0.022;0;0.676196498;0.232280658;0;0;0.0001
50;1.02E-04;0.000114155;0;3.75E-06;0.000114155;0;0.019;0;0.665891719;0.251580946;0;0;0.0001
51;9.90E-05;0.000114155;0;2.38E-06;0.000114155;0;0.035;0;0.633046117;0.250903743;0;0;0.0001
52;9.62E-05;0.000114155;0;8.30E-06;0.000114155;0;0.055;0;0.612535236;0.25259675;0;0;0.0001
53;9.45E-05;0.000114155;0;2.49E-05;0.000114155;0;0.036;0;0.619047969;0.252935353;0;0;0.0001
54;9.19E-05;0.000114155;0;6.93E-05;0.000114155;0;0.03;0;0.677620277;0.25259675;0;0;0.0001
55;8.71E-05;0.000114155;0;0.000143;0.000114155;0;0.033;0;0.667484661;0.249210734;0;0;0.0001
56;9.23E-05;0.000114155;0;0.00019;0.000114155;0;0.035;0;0.700090616;0.253273953;0;0;0.0001
57;0.0000989;0.000114155;0;0.000168;0.000114155;0;0.035;0;0.707702901;0.257337172;0;0;0.0001
58;0.000109;0.000114155;0;0.000165;0.000114155;0.00386;0.052;0;0.706222735;0.252935353;0;0;0.0001
59;0.000112;0.000114155;0;0.000179;0.000114155;0.17485;0.083;0;0.707350481;0.259030179;0;0.12535977;0.0001
60;0.000112;0.000114155;0;0.000196;0.000114155;0.1957;0.122;0;0.645634581;0.299323763;0;0.106256702;0.0001
61;0.000108807;0.000114155;0;0.000195;0.000114155;0.40704;0.146;0;0.65331735;0.341310354;0;0.302789744;0.0001
62;0.00011049;0.000114155;0;0.000185;0.000114155;0.54138;0.158;0;0.711382173;0.336569933;0;0.413241408;0.0001
