Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];
Electricity;Electricity;Nuclear;NUCLEAR;4845.734619;102.930986;707.88;60;0.843906;0;1;0;0;
Electricity;Electricity;Combined cycle gas turbine;CCGT ;771.9917595;19.73031183;183.79;25;0.377371468;0;1;0;0;
Electricity;Electricity;Amonia combined cycle gas turbine;CCGT_AMMONIA ;771.99;19.55202588;183.79;25;0.59;0;1;0;0;
Electricity;Electricity;Ultra-supercritical coal power plant;COAL_US;2516.705684;29.70315573;331.6;35;0.865396;0;1;0;0;
Electricity;Electricity;Intagrated gasification combined cycle with coal;COAL_IGCC;3245.809533;48.94653057;331.6;35;0.853432;0;1;0;0;
Electricity;Electricity;Photovoltaic rooftop;PV_ROOFTOP;737.8867059;9.726688396;2081.43;40;1;0;1;0;0;
Electricity;Electricity;Photovoltaic utility scale;PV_UTILITY;335.4030481;8.432990925;2081.43;40;1;0;1;0;0;
Electricity;Electricity;Parabolic trough power block;PT_POWER_BLOCK;1044.57;62.65;0;25;1;0;1;0;0;
Electricity;Electricity;Solar tower power block;ST_POWER_BLOCK;50;5;0;25;1;0;1;0;0;
Electricity;Electricity;Wind onshore;WIND_ONSHORE ;1010;16.82;622.85;30;1;0;1;0;0;
Electricity;Electricity;Wind offshore;WIND_OFFSHORE;1667.432296;51.87199798;622.85;30;1;0;1;0;0;
Electricity;Electricity;Hydro dam;HYDRO_DAM;2206.3;22.06299731;1262.82;40;1;0;1;0.06606;0.06616;
Electricity;Electricity;Hydro river;HYDRO_RIVER ;2000.263959;20.00263959;1262.82;40;1;0;1;0.21117;0.21127;
Electricity;Electricity;Tidal stream;TIDAL_STREAM;3752;165;0;20;1;0;1;0;0;
Electricity;Electricity;Tidal range;TIDAL_RANGE;2867;178;0;40;1;0;1;0;0;
Electricity;Electricity;Wave;WAVE;1909;42;0;20;1;0;1;0;0;
Electricity;Electricity;Geothermal power plant;GEOTHERMAL;7488;142.272;24929.09;30;0.86;0;1;0;0;
Heat;Heat high temperature;Cogeneration gas (industry);IND_COGEN_GAS;1408.03446;92.61166776;1024.32;25;0.85;0;1;0;0;
Heat;Heat high temperature;Cogeneration wood (industry);IND_COGEN_WOOD;1080.794082;40.49068265;165.33;25;0.85;0;1;0;0;
Heat;Heat high temperature;Cogeneration waste (industry);IND_COGEN_WASTE;2927.867778;111.3212848;647.82;25;0.85;0;1;0;0;
Heat;Heat high temperature;Boiler gas (industry);IND_BOILER_GAS ;70.67;1.415862909;12.32;17;0.9443;0;1;0.307982509;0.308082509;
Heat;Heat high temperature;Boiler wood (industry);IND_BOILER_WOOD ;138.22;2.764303774;28.87;17;0.8946;0;1;0.117861647;0.117961647;
Heat;Heat high temperature;Boiler oil (industry);IND_BOILER_OIL ;65.83;1.415862909;12.32;17;0.9443;0;1;0.000174009;0.000274009;
Heat;Heat high temperature;Boiler coal (industry);IND_BOILER_COAL;115.1793239;2.303586478;48.18;17;0.9;0;1;0;0;
Heat;Heat high temperature;Boiler waste (industry);IND_BOILER_WASTE;115.1793239;2.303586478;28.87;17;0.9;0;1;0;0;
Heat;Heat high temperature;Electrical resistors (industry);IND_DIRECT_ELEC;332.3438524;1.507631801;1.47;15;0.95;0;1;0;0;
Heat;Heat low temperature centralised;Heat pump (DHN);DHN_HP_ELEC;344.7607454;11.9955052;174.79;25;0.95;0;1;0;0;
Heat;Heat low temperature centralised;Cogeneration gas (DHN);DHN_COGEN_GAS;1254.490121;37.53160408;490.88;25;0.85;0;1;0;0;
Heat;Heat low temperature centralised;Cogeneration wood (DHN);DHN_COGEN_WOOD;1080.794082;40.49068265;165.33;25;0.85;0;1;0;0;
Heat;Heat low temperature centralised;Cogeneration waste (DHN);DHN_COGEN_WASTE;2927.867778;111.3212848;647.82;25;0.85;0;1;0;0;
