{PERIODS};ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
1;1.20E-04;0.000114155;0;6.77E-06;0.000114155;0;0.029;0;0.841011993;0.911666048;0;0;0.0001
2;1.03E-04;0.000114155;0;3.75E-06;0.000114155;0;0.012;0;0.842109333;0.912254373;0;0;0.0001
3;8.72E-05;0.000114155;0;2.38E-06;0.000114155;0;0.012;0;0.843206674;0.912842699;0;0;0.0001
4;7.91E-05;0.000114155;0;8.30E-06;0.000114155;0;0.008;0;0.844304014;0.913431024;0;0;0.0001
5;7.55E-05;0.000114155;0;2.49E-05;0.000114155;0;0.002;0;0.845401355;0.914019349;0;0;0.0001
6;7.37E-05;0.000114155;0;6.93E-05;0.000114155;0;0.001;0;0.846498695;0.914607675;0;0;0.0001
7;6.53E-05;0.000114155;0;0.000143;0.000114155;0;0.001;0;0.847596036;0.915196;0;0;0.0001
8;6.89E-05;0.000114155;0;0.00019;0.000114155;0;0.001;0;0.848693376;0.915784326;0;0;0.0001
9;7.51E-05;0.000114155;0;0.000168;0.000114155;0;0.006;0;0.849790717;0.916372651;0;0;0.0001
10;8.27E-05;0.000114155;0;0.000165;0.000114155;0;0.008;0;0.850888057;0.916960976;0;0;0.0001
11;0.0000891;0.000114155;0;0.000179;0.000114155;0.05522;0.025;0;0.851985398;0.917549302;0;0.031815709;0.0001
12;0.0000926;0.000114155;0;0.000196;0.000114155;0.04809;0.077;0;0.853082738;0.918137627;0;0.012777815;0.0001
13;0.0000936;0.000114155;0;0.000195;0.000114155;0.08363;0.124;0;0.854180079;0.918725952;0;0.018188585;0.0001
14;0.0000923;0.000114155;0;0.000185;0.000114155;0.12383;0.151;0;0.855277419;0.919314278;0;0.004399233;0.0001
15;9.02E-05;0.000114155;0;0.000199;0.000114155;0.17817;0.154;0;0.85637476;0.919902603;0;0.005506198;0.0001
16;8.90E-05;0.000114155;0;0.000216;0.000114155;0.22565;0.132;0;0.8574721;0.920490928;0;0.003473581;0.0001
17;0.0000882;0.000114155;0;0.000224;0.000114155;0.31361;0.088;0;0.858569441;0.921079254;0;0.06077812;0.0001
18;0.0000878;0.000114155;0;0.000198;0.000114155;0.18111;0.069;0;0.859666781;0.921667579;0;0.01749196;0.0001
19;0.0000921;0.000114155;0;0.000137;0.000114155;0.26644;0.04;0;0.860764122;0.922255905;0;0.072525312;0.0001
20;0.00012;0.000114155;0;9.07E-05;0.000114155;0.31845;0.016;0;0.861861462;0.92284423;0;0.153009323;0.0001
21;0.000133;0.000114155;0;6.33E-05;0.000114155;0.10081;0.005;0;0.862958803;0.923432555;0;0.046855169;0.0001
22;0.000126;0.000114155;0;4.11E-05;0.000114155;0.01146;0.002;0;0.864056143;0.924020881;0;0.008989322;0.0001
23;0.000111;0.000114155;0;2.46E-05;0.000114155;0;0.004;0;0.865153484;0.924609206;0;0;0.0001
24;9.54E-05;0.000114155;0;8.08E-06;0.000114155;0;0.02;0;0.866250824;0.925197531;0;0;0.0001
25;8.24E-05;0.000114155;0;6.77E-06;0.000114155;0;0.055;0;0.867348165;0.925785857;0;0;0.0001
26;7.40E-05;0.000114155;0;3.75E-06;0.000114155;0;0.077;0;0.868445505;0.926374182;0;0;0.0001
27;6.98E-05;0.000114155;0;2.38E-06;0.000114155;0;0.069;0;0.869542846;0.926962507;0;0;0.0001
28;6.76E-05;0.000114155;0;8.30E-06;0.000114155;0;0.045;0;0.870640186;0.927550833;0;0;0.0001
29;6.76E-05;0.000114155;0;2.49E-05;0.000114155;0;0.02;0;0.871737527;0.928139158;0;0;0.0001
30;6.93E-05;0.000114155;0;6.93E-05;0.000114155;0;0.009;0;0.872834867;0.928727483;0;0;0.0001
31;6.66E-05;0.000114155;0;0.000143;0.000114155;0;0.018;0;0.873932208;0.929315809;0;0;0.0001
32;7.69E-05;0.000114155;0;0.00019;0.000114155;0;0.015;0;0.875029548;0.929904134;0;0;0.0001
33;0.0000862;0.000114155;0;0.000168;0.000114155;0;0.048;0;0.876126889;0.93049246;0;0;0.0001
34;0.0000966;0.000114155;0;0.000165;0.000114155;0;0.095;0;0.877224229;0.931080785;0;0;0.0001
35;0.000102811;0.000114155;0;0.000179;0.000114155;0.01721;0.139;0;0.87832157;0.93166911;0;0.003139583;0.0001
36;0.000105726;0.000114155;0;0.000196;0.000114155;0.04052;0.161;0;0.87941891;0.932257436;0;0.00210896;0.0001
37;0.000104172;0.000114155;0;0.000195;0.000114155;0.10472;0.195;0;0.880516251;0.932845761;0;0.014447806;0.0001
38;0.000103004;0.000114155;0;0.000185;0.000114155;0.19042;0.216;0;0.881613591;0.933434086;0;0.024830377;0.0001
39;0.00010194;0.000114155;0;0.000199;0.000114155;0.18984;0.214;0;0.882710932;0.934022412;0;0.015583399;0.0001
40;0.000101365;0.000114155;0;0.000216;0.000114155;0.21014;0.184;0;0.883808272;0.934610737;0;0.069404815;0.0001
41;0.000100276;0.000114155;0;0.000224;0.000114155;0.24223;0.151;0;0.884905613;0.935199062;0;0.038190303;0.0001
42;0.0000992;0.000114155;0;0.000198;0.000114155;0.3334;0.11;0;0.886002953;0.935787388;0;0.088547681;0.0001
43;0.000103139;0.000114155;0;0.000137;0.000114155;0.24364;0.12;0;0.887100294;0.936375713;0;0.086343293;0.0001
44;0.000128082;0.000114155;0;9.07E-05;0.000114155;0.33209;0.093;0;0.888197634;0.936964039;0;0.17399395;0.0001
45;0.000140411;0.000114155;0;6.33E-05;0.000114155;0.19804;0.073;0;0.889294975;0.937552364;0;0.129982537;0.0001
46;0.000133;0.000114155;0;4.11E-05;0.000114155;0.08784;0.052;0;0.890392315;0.938140689;0;0.07598935;0.0001
47;0.000117;0.000114155;0;2.46E-05;0.000114155;0;0.031;0;0.891489656;0.938729015;0;0;0.0001
48;0.0000998;0.000114155;0;8.08E-06;0.000114155;0;0.02;0;0.892586996;0.93931734;0;0;0.0001
49;8.49E-05;0.000114155;0;6.77E-06;0.000114155;0;0.009;0;0.892586996;0.93931734;0;0;0.0001
50;7.55E-05;0.000114155;0;3.75E-06;0.000114155;0;0.001;0;0.892586996;0.93931734;0;0;0.0001
51;6.82E-05;0.000114155;0;2.38E-06;0.000114155;0;0.001;0;0.892586996;0.93931734;0;0;0.0001
52;6.56E-05;0.000114155;0;8.30E-06;0.000114155;0;0.013;0;0.892586996;0.93931734;0;0;0.0001
53;6.53E-05;0.000114155;0;2.49E-05;0.000114155;0;0.044;0;0.892586996;0.93931734;0;0;0.0001
54;6.64E-05;0.000114155;0;6.93E-05;0.000114155;0;0.065;0;0.892586996;0.93931734;0;0;0.0001
55;6.19E-05;0.000114155;0;0.000143;0.000114155;0;0.043;0;0.892586996;0.93931734;0;0;0.0001
56;7.20E-05;0.000114155;0;0.00019;0.000114155;0;0.014;0;0.892586996;0.93931734;0;0;0.0001
57;0.0000819;0.000114155;0;0.000168;0.000114155;0;0.022;0;0.892586996;0.93931734;0;0;0.0001
58;0.0000898;0.000114155;0;0.000165;0.000114155;0;0.068;0;0.892586996;0.93931734;0;0;0.0001
59;0.0000942;0.000114155;0;0.000179;0.000114155;0.05331;0.1;0;0.892586996;0.93931734;0;0.038543386;0.0001
