{PERIODS};ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
1;1.01E-04;0.000114155;0;6.77E-06;0.000114155;0;0.025;0;0.66131025;0.174718395;0;0;0.0001
2;9.12E-05;0.000114155;0;3.75E-06;0.000114155;0;0.025;0;0.577786563;0.177088607;0;0;0.0001
3;8.10E-05;0.000114155;0;2.38E-06;0.000114155;0;0.057;0;0.537201804;0.180474622;0;0;0.0001
4;7.53E-05;0.000114155;0;8.30E-06;0.000114155;0;0.09;0;0.503975588;0.178104411;0;0;0.0001
5;7.11E-05;0.000114155;0;2.49E-05;0.000114155;0;0.077;0;0.47923566;0.192664277;0;0;0.0001
6;6.78E-05;0.000114155;0;6.93E-05;0.000114155;0;0.041;0;0.418351473;0.19537309;0;0;0.0001
7;5.83E-05;0.000114155;0;0.000143;0.000114155;0.037592482;0.038;0;0.377907682;0.198759106;0;0;0.0001
8;5.81E-05;0.000114155;0;0.00019;0.000114155;0.160167966;0.031;0;0.399955117;0.193341481;0;0;0.0001
9;6.04E-05;0.000114155;0;0.000168;0.000114155;0.303539292;0.011;0;0.412473097;0.254289758;0;0;0.0001
10;6.43E-05;0.000114155;0;0.000165;0.000114155;0.369926015;0.003;0;0.447771547;0.236005275;0;0.236679198;0.0001
11;6.69E-05;0.000114155;0;0.000179;0.000114155;0.442611478;0.001;0;0.502551809;0.178104411;0;0.382663205;0.0001
12;6.80E-05;0.000114155;0;0.000196;0.000114155;0.437212557;0.001;0;0.556204324;0.209255752;0;0.235411584;0.0001
13;6.85E-05;0.000114155;0;0.000195;0.000114155;0.464607079;0;0;0.576235912;0.223815619;0;0.352379381;0.0001
14;6.78E-05;0.000114155;0;0.000185;0.000114155;0.407118576;0;0;0.612986334;0.224492823;0;0.480035076;0.0001
15;6.71E-05;0.000114155;0;0.000199;0.000114155;0.384823035;0.001;0;0.598198766;0.440182005;0;0.50068156;0.0001
16;6.69E-05;0.000114155;0;0.000216;0.000114155;0.336232753;0.002;0;0.632129823;0.438827598;0;0.331646075;0.0001
17;6.71E-05;0.000114155;0;0.000224;0.000114155;0.054589082;0.022;0;0.607883283;0.459482293;0;0.3418304;0.0001
18;6.81E-05;0.000114155;0;0.000198;0.000114155;0.037692462;0.041;0;0.577053528;0.736458354;0;0.241862525;0.0001
19;7.24E-05;0.000114155;0;1.37E-04;0.000114155;0;0.108;0;0.684118913;0.891876461;0;0.176076821;0.0001
20;9.58E-05;0.000114155;0;9.07E-05;0.000114155;0;0.305;0;0.831205184;0.88273422;0;0.159450237;0.0001
21;1.09E-04;0.000114155;0;6.33E-05;0.000114155;0;0.375;0;0.748005723;0.871560368;0;0.134210823;0.0001
22;1.03E-04;0.000114155;0;4.11E-05;0.000114155;0;0.341;0;0.626646158;0.798422436;0;0.039009524;0.0001
23;9.28E-05;0.000114155;0;2.46E-05;0.000114155;0;0.357;0;0.612788978;0.287134108;0;0;0.0001
24;8.33E-05;0.000114155;0;8.08E-06;0.000114155;0;0.376;0;0.563999868;0.166253357;0;0;0.0001
25;7.49E-05;0.000114155;0;6.77E-06;0.000114155;0;0.382;0;0.582410322;0.430286377;0;0;0.0001
26;6.88E-05;0.000114155;0;3.75E-06;0.000114155;0;0.379;0;0.584200619;0.43081121;0;0;0.0001
27;6.53E-05;0.000114155;0;2.38E-06;0.000114155;0;0.366;0;0.592926552;0.45615553;0;0;0.0001
28;6.47E-05;0.000114155;0;8.30E-06;0.000114155;0;0.359;0;0.583664939;0.452947275;0;0;0.0001
29;6.39E-05;0.000114155;0;2.49E-05;0.000114155;0;0.362;0;0.599580255;0.454614892;0;0;0.0001
30;6.42E-05;0.000114155;0;6.93E-05;0.000114155;0;0.293;0;0.619978361;0.458161752;0;0;0.0001
31;6.08E-05;0.000114155;0;0.000143;0.000114155;0.00159968;0.161;0;0.604288594;0.447504261;0;0;0.0001
32;6.86E-05;0.000114155;0;0.00019;0.000114155;0.031693661;0.233;0;0.580591832;0.410723668;0;0;0.0001
33;7.72E-05;0.000114155;0;0.000168;0.000114155;1.48E-01;0.223;0;0.628577423;0.271219835;0;0;0.0001
34;8.15E-05;0.000114155;0;0.000165;0.000114155;0.264347131;0.178;0;0.607728219;0.326411886;0;0.048299574;0.0001
35;8.44E-05;0.000114155;0;0.000179;0.000114155;0.24925015;0.134;0;0.589303669;0.365351063;0;0.240803285;0.0001
36;8.44E-05;0.000114155;0;0.000196;0.000114155;0.147070586;0.107;0;0.623305211;0.362980853;0;0.430945414;0.0001
37;8.38E-05;0.000114155;0;0.000195;0.000114155;0.440611878;0.094;0;0.586286948;0.367044072;0;0.149882355;0.0001
38;8.33E-05;0.000114155;0;0.000185;0.000114155;0.458108378;0.089;0;0.612845367;0.571517079;0;0.067096729;0.0001
39;8.50E-05;0.000114155;0;0.000199;0.000114155;0.409418116;0.093;0;0.619654133;0.561435218;0;0.118582703;0.0001
40;8.55E-05;0.000114155;0;0.000216;0.000114155;0.309538092;0.097;0;0.61345153;0.566302618;0;0.179645242;0.0001
41;8.55E-05;0.000114155;0;0.000224;0.000114155;0.199760048;0.091;0;0.610815424;0.551217919;0;0.51854971;0.0001
42;8.48E-05;0.000114155;0;0.000198;0.000114155;0.050689862;0.084;0;0.551481888;0.781797093;0;0.384035007;0.0001
43;8.73E-05;0.000114155;0;1.37E-04;0.000114155;0;0.192;0;0.692238685;0.86619353;0;0.404247376;0.0001
