Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;Units
Electricity;baseload;ELECTRICITY;91.40106744;50.69268839;304.0036396;0;[GWh]. 
Electricity;variable;ELECTRICITY_VAR;10.15567416;13.01819251;401.392145;0;[GWh]
Heat;high temperature;HEAT_HIGH_T;0;3.869854901;477.9205596;0;[GWh]
Heat;space heating;HEAT_LOW_T_SH;0;0;0;0;[GWh]
Heat;hot water;HEAT_LOW_T_HW;99.63831419;0;0;0;[GWh]
Heat;cooking;COOKING;282.5015953;22.95947822;0;0;[GWh] 
Cold;process cooling;PROCESS_COOLING;0;0;0;0;[GWh]
Cold;space cooling;SPACE_COOLING;0;0;0;0;[GWh]
Mobility;passenger;MOBILITY_PASSENGER;0;0;0;16207.71728;[Mpkm]
Mobility;freight;MOBILITY_FREIGHT;0;0;0;816.9077353;[Mtkm]
Non energy;Non energy;NON_ENERGY;0;0;7.9532388;0;[GWh]
