{PERIODS};ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
1;8.96E-05;0.000114155;0;6.77E-06;0.000114155;0;0.107;0;0.66131025;0.583904821;0;0;0.0001
2;8.46E-05;0.000114155;0;3.75E-06;0.000114155;0;0.121;0;0.577786563;0.584060491;0;0;0.0001
3;8.28E-05;0.000114155;0;2.38E-06;0.000114155;0;0.141;0;0.537201804;0.58421616;0;0;0.0001
4;8.23E-05;0.000114155;0;8.30E-06;0.000114155;0;0.163;0;0.503975588;0.584371829;0;0;0.0001
5;8.33E-05;0.000114155;0;2.49E-05;0.000114155;0;0.177;0;0.47923566;0.584527498;0;0;0.0001
6;8.13E-05;0.000114155;0;6.93E-05;0.000114155;0;0.137;0;0.418351473;0.584683167;0;0;0.0001
7;7.65E-05;0.000114155;0;0.000143;0.000114155;0.062937063;0.199;0;0.377907682;0.584838836;0;0;0.0001
8;7.60E-05;0.000114155;0;0.00019;0.000114155;0.339327339;0.24;0;0.399955117;0.584994505;0;0;0.0001
9;7.63E-05;0.000114155;0;0.000168;0.000114155;0.587745588;0.19;0;0.412473097;0.585150174;0;0;0.0001
10;7.71E-05;0.000114155;0;0.000165;0.000114155;0.766566767;0.112;0;0.447771547;0.585305844;0;0.281812539;0.0001
11;7.77E-05;0.000114155;0;0.000179;0.000114155;0.818181818;0.061;0;0.502551809;0.585461513;0;0.555308854;0.0001
12;7.74E-05;0.000114155;0;0.000196;0.000114155;0.823842824;0.034;0;0.556204324;0.585617182;0;0.6628229;0.0001
13;7.58E-05;0.000114155;0;0.000195;0.000114155;0.846653347;0.014;0;0.576235912;0.585772851;0;0.580090404;0.0001
14;7.77E-05;0.000114155;0;0.000185;0.000114155;0.810522811;0.006;0;0.612986334;0.58592852;0;0.430844037;0.0001
15;8.06E-05;0.000114155;0;0.000199;0.000114155;0.562271062;0.006;0;0.598198766;0.586084189;0;0.337781916;0.0001
