{PERIODS};ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
1;7.12E-05;0.000114155;0;6.77E-06;0.000114155;0;0.004324676;0;0.66131025;0.174718395;0;0;0.0001
2;6.82E-05;0.000114155;0;3.75E-06;0.000114155;0;0.002883117;0;0.577786563;0.177088607;0;0;0.0001
3;6.47E-05;0.000114155;0;2.38E-06;0.000114155;0;0.002883117;0;0.537201804;0.180474622;0;0;0.0001
4;6.22E-05;0.000114155;0;8.30E-06;0.000114155;0;0.004324676;0;0.503975588;0.178104411;0;0;0.0001
5;6.06E-05;0.000114155;0;2.49E-05;0.000114155;0;0.008649351;0;0.47923566;0.192664277;0;0;0.0001
6;5.54E-05;0.000114155;0;6.93E-05;0.000114155;0;0.01009091;0;0.418351473;0.19537309;0;0;0.0001
7;4.81E-05;0.000114155;0;0.000143;0.000114155;0.174549786;0.015857144;0;0.377907682;0.198759106;0;0.137615849;0.0001
8;4.83E-05;0.000114155;0;0.00019;0.000114155;0.396145201;0.027389612;0;0.399955117;0.193341481;0;0.344437689;0.0001
9;4.98E-05;0.000114155;0;0.000168;0.000114155;0.604231002;0.044688315;0;0.412473097;0.254289758;0;0.54267444;0.0001
10;5.17E-05;0.000114155;0;0.000165;0.000114155;0.776983337;0.06919481;0;0.447771547;0.236005275;0;0.708860742;0.0001
11;5.53E-05;0.000114155;0;0.000179;0.000114155;0.899759951;0.096584423;0;0.502551809;0.178104411;0;0.827533585;0.0001
12;6.03E-05;0.000114155;0;0.000196;0.000114155;0.962777455;0.119649359;0;0.556204324;0.209255752;0;0.888909581;0.0001
13;6.30E-05;0.000114155;0;0.000195;0.000114155;0.838966691;0.131181828;0;0.576235912;0.223815619;0;0.16348602;0.0001
14;6.16E-05;0.000114155;0;0.000185;0.000114155;0.508949652;0.125415593;0;0.612986334;0.224492823;0;0.065742408;0.0001
15;6.10E-05;0.000114155;0;0.000199;0.000114155;0.480305332;0.115324684;0;0.598198766;0.440182005;0;0.087164091;0.0001
16;5.82E-05;0.000114155;0;0.000216;0.000114155;0.456027424;0.098025981;0;0.632129823;0.438827598;0;0.164659699;0.0001
17;5.77E-05;0.000114155;0;0.000224;0.000114155;0.409186984;0.067753252;0;0.607883283;0.459482293;0;0.356658718;0.0001
18;5.58E-05;0.000114155;0;0.000198;0.000114155;0.132001891;0.037480522;0;0.577053528;0.736458354;0;0.048284967;0.0001
19;5.32E-05;0.000114155;0;1.37E-04;0.000114155;0.007386787;0.033155847;0;0.684118913;0.891876461;0;0;0.0001
20;7.04E-05;0.000114155;0;9.07E-05;0.000114155;0;0.050454549;0;0.831205184;0.88273422;0;0;0.0001
