Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;Units
Electricity;baseload;ELECTRICITY;18.61521391;20.83171626;2.2602153;0;[GWh]. 
Electricity;variable;ELECTRICITY_VAR;3.64013622;4.319551743;2.2602153;0;[GWh]
Heat;high temperature;HEAT_HIGH_T;0;0.67162771;46.42526285;0;[GWh]
Heat;space heating;HEAT_LOW_T_SH;0;0;0;0;[GWh]
Heat;hot water;HEAT_LOW_T_HW;14.50873033;0;0;0;[GWh]
Heat;cooking;COOKING;32.39220827;0;0;0;[GWh] 
Cold;process cooling;PROCESS_COOLING;0;0;0;0;[GWh]
Cold;space cooling;SPACE_COOLING;0;0;0;0;[GWh]
Mobility;passenger;MOBILITY_PASSENGER;0;0;0;1630.152784;[Mpkm]
Mobility;freight;MOBILITY_FREIGHT;0;0;0;167.4909817;[Mtkm]
Non energy;Non energy;NON_ENERGY;0;0;0.2719056;0;[GWh]
