Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;Units
Electricity;baseload;ELECTRICITY;4.300362;4.76379;0.0003;0;[GWh]. 
Electricity;variable;ELECTRICITY_VAR;0.477818;0.40915;0.0003;0;[GWh]
Heat;high temperature;HEAT_HIGH_T;0;0;0;0;[GWh]
Heat;space heating;HEAT_LOW_T_SH;0;0;0;0;[GWh]
Heat;hot water;HEAT_LOW_T_HW;0;0;0;0;[GWh]
Heat;cooking;COOKING;5.715144891;0;0;0;[GWh] 
Cold;process cooling;PROCESS_COOLING;0;0;0;0;[GWh]
Cold;space cooling;SPACE_COOLING;0;0;0;0;[GWh]
Mobility;passenger;MOBILITY_PASSENGER;0;0;0;0;[Mpkm]
Mobility;freight;MOBILITY_FREIGHT;0;0;0;0;[Mtkm]
Non energy;Non energy;NON_ENERGY;0;0;0;0;[GWh]
