{PERIODS};ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
1;1.02E-04;0.000114155;0;6.77E-06;0.000114155;0;0.004324676;0;0.66131025;0.174718395;0;0;0.0001
2;9.74E-05;0.000114155;0;3.75E-06;0.000114155;0;0.002883117;0;0.577786563;0.177088607;0;0;0.0001
3;9.11E-05;0.000114155;0;2.38E-06;0.000114155;0;0.002883117;0;0.537201804;0.180474622;0;0;0.0001
4;8.63E-05;0.000114155;0;8.30E-06;0.000114155;0;0.004324676;0;0.503975588;0.178104411;0;0;0.0001
5;8.31E-05;0.000114155;0;2.49E-05;0.000114155;0;0.008649351;0;0.47923566;0.192664277;0;0;0.0001
6;7.68E-05;0.000114155;0;6.93E-05;0.000114155;0;0.01009091;0;0.418351473;0.19537309;0;0;0.0001
7;6.77E-05;0.000114155;0;0.000143;0.000114155;0;0.015857144;0;0.377907682;0.198759106;0;0;0.0001
8;6.92E-05;0.000114155;0;0.00019;0.000114155;0;0.027389612;0;0.399955117;0.193341481;0;0;0.0001
9;7.35E-05;0.000114155;0;0.000168;0.000114155;0;0.044688315;0;0.412473097;0.254289758;0;0;0.0001
10;7.86E-05;0.000114155;0;0.000165;0.000114155;0.00145;0.06919481;0;0.447771547;0.236005275;0;0;0.0001
11;8.64E-05;0.000114155;0;0.000179;0.000114155;0.01635;0.096584423;0;0.502551809;0.178104411;0;0;0.0001
12;9.43E-05;0.000114155;0;0.000196;0.000114155;0.46966;0.119649359;0;0.556204324;0.209255752;0;0.308103439;0.0001
13;1.01E-04;0.000114155;0;0.000195;0.000114155;0.19272;0.131181828;0;0.576235912;0.223815619;0;0.00892584;0.0001
14;1.07E-04;0.000114155;0;0.000185;0.000114155;0.62933;0.125415593;0;0.612986334;0.224492823;0;0.436061473;0.0001
15;1.10E-04;0.000114155;0;0.000199;0.000114155;0.61864;0.115324684;0;0.598198766;0.440182005;0;0.363611006;0.0001
16;1.12E-04;0.000114155;0;0.000216;0.000114155;0.67346;0.098025981;0;0.632129823;0.438827598;0;0.485072612;0.0001
17;1.11E-04;0.000114155;0;0.000224;0.000114155;0.49521;0.067753252;0;0.607883283;0.459482293;0;0.142885422;0.0001
18;1.07E-04;0.000114155;0;0.000198;0.000114155;0.18577;0.037480522;0;0.577053528;0.736458354;0;0;0.0001
19;1.04E-04;0.000114155;0;1.37E-04;0.000114155;0.0382;0.033155847;0;0.684118913;0.891876461;0;0;0.0001
20;1.19E-04;0.000114155;0;9.07E-05;0.000114155;0.02299;0.050454549;0;0.831205184;0.88273422;0;0;0.0001
21;1.22E-04;0.000114155;0;6.33E-05;0.000114155;0.00954;0.08937663;0;0.748005723;0.871560368;0;0;0.0001
22;1.19E-04;0.000114155;0;4.11E-05;0.000114155;0.00028;0.111000008;0;0.626646158;0.798422436;0;0;0.0001
23;1.15E-04;0.000114155;0;2.46E-05;0.000114155;0;0.053337666;0;0.612788978;0.287134108;0;0;0.0001
24;1.07E-04;0.000114155;0;8.08E-06;0.000114155;0;0.02018182;0;0.563999868;0.166253357;0;0;0.0001
25;9.79E-05;0.000114155;0;6.77E-06;0.000114155;0;0.008649351;0;0.582410322;0.430286377;0;0;0.0001
26;9.08E-05;0.000114155;0;3.75E-06;0.000114155;0;0.007207793;0;0.584200619;0.43081121;0;0;0.0001
27;8.55E-05;0.000114155;0;2.38E-06;0.000114155;0;0.011532468;0;0.592926552;0.45615553;0;0;0.0001
28;8.21E-05;0.000114155;0;8.30E-06;0.000114155;0;0.021623378;0;0.583664939;0.452947275;0;0;0.0001
29;7.98E-05;0.000114155;0;2.49E-05;0.000114155;0;0.030272729;0;0.599580255;0.454614892;0;0;0.0001
30;7.41E-05;0.000114155;0;6.93E-05;0.000114155;0;0.034597405;0;0.619978361;0.458161752;0;0;0.0001
31;6.66E-05;0.000114155;0;0.000143;0.000114155;0;0.056220783;0;0.604288594;0.447504261;0;0;0.0001
32;6.99E-05;0.000114155;0;0.00019;0.000114155;0;0.076402603;0;0.580591832;0.410723668;0;0;0.0001
33;7.84E-05;0.000114155;0;0.000168;0.000114155;0.00E+00;0.076402603;0;0.628577423;0.271219835;0;0;0.0001
34;8.58E-05;0.000114155;0;0.000165;0.000114155;0;0.074961044;0;0.607728219;0.326411886;0;0;0.0001
35;9.35E-05;0.000114155;0;0.000179;0.000114155;0.01529;0.08937663;0;0.589303669;0.365351063;0;0;0.0001
36;0.000100609;0.000114155;0;0.000196;0.000114155;0.32371;0.118207801;0;0.623305211;0.362980853;0;0.151937231;0.0001
37;0.000106298;0.000114155;0;0.000195;0.000114155;0.60708;0.152805206;0;0.586286948;0.367044072;0;0.461192391;0.0001
38;0.000112691;0.000114155;0;0.000185;0.000114155;0.71765;0.191727286;0;0.612845367;0.571517079;0;0.721184473;0.0001
39;0.000117906;0.000114155;0;0.000199;0.000114155;0.71524;0.201818196;0;0.619654133;0.561435218;0;0.718089222;0.0001
40;0.00012039;0.000114155;0;0.000216;0.000114155;0.70229;0.172987025;0;0.61345153;0.566302618;0;0.678696755;0.0001
41;0.000120031;0.000114155;0;0.000224;0.000114155;0.64657;0.118207801;0;0.610815424;0.551217919;0;0.491101154;0.0001
42;0.000116203;0.000114155;0;0.000198;0.000114155;0.58661;0.056220783;0;0.551481888;0.781797093;0;0.380814843;0.0001
43;0.000112115;0.000114155;0;1.37E-04;0.000114155;0.52558;0.030272729;0;0.692238685;0.86619353;0;0.323453724;0.0001
44;0.000128544;0.000114155;0;9.07E-05;0.000114155;0.53817;0.028831171;0;0.801714627;0.872000551;0;0.407376415;0.0001
45;0.000131176;0.000114155;0;6.33E-05;0.000114155;0.00952;0.037480522;0;0.765302529;0.861292282;0;0;0.0001
46;1.29E-04;0.000114155;0;4.11E-05;0.000114155;0.00052;0.037480522;0;0.699921453;0.863611698;0;0;0.0001
47;1.23E-04;0.000114155;0;2.46E-05;0.000114155;0;0.024506495;0;0.629620587;0.584290815;0;0;0.0001
48;1.14E-04;0.000114155;0;8.08E-06;0.000114155;0;0.012974027;0;0.663650324;0.231264853;0;0;0.0001
49;1.05E-04;0.000114155;0;6.77E-06;0.000114155;0;0.007207793;0;0.676196498;0.232280658;0;0;0.0001
50;9.64E-05;0.000114155;0;3.75E-06;0.000114155;0;0.004324676;0;0.665891719;0.251580946;0;0;0.0001
51;9.07E-05;0.000114155;0;2.38E-06;0.000114155;0;0.005766234;0;0.633046117;0.250903743;0;0;0.0001
52;8.66E-05;0.000114155;0;8.30E-06;0.000114155;0;0.011532468;0;0.612535236;0.25259675;0;0;0.0001
53;8.37E-05;0.000114155;0;2.49E-05;0.000114155;0;0.011532468;0;0.619047969;0.252935353;0;0;0.0001
54;7.76E-05;0.000114155;0;6.93E-05;0.000114155;0;0.008649351;0;0.677620277;0.25259675;0;0;0.0001
55;7.00E-05;0.000114155;0;0.000143;0.000114155;0;0.01009091;0;0.667484661;0.249210734;0;0;0.0001
56;7.27E-05;0.000114155;0;0.00019;0.000114155;0;0.015857144;0;0.700090616;0.253273953;0;0;0.0001
57;7.94E-05;0.000114155;0;0.000168;0.000114155;0;0.018740261;0;0.707702901;0.257337172;0;0;0.0001
58;8.62E-05;0.000114155;0;0.000165;0.000114155;0;0.028831171;0;0.706222735;0.252935353;0;0;0.0001
59;9.22E-05;0.000114155;0;0.000179;0.000114155;0.16478;0.061987017;0;0.707350481;0.259030179;0;0.084822473;0.0001
60;9.82E-05;0.000114155;0;0.000196;0.000114155;0.35011;0.105233774;0;0.645634581;0.299323763;0;0.182223902;0.0001
61;0.000102966;0.000114155;0;0.000195;0.000114155;0.42728;0.14848053;0;0.65331735;0.341310354;0;0.19326423;0.0001
62;0.000107418;0.000114155;0;0.000185;0.000114155;0.59718;0.183077935;0;0.711382173;0.336569933;0;0.372572837;0.0001
63;1.12E-04;0.000114155;0;0.000199;0.000114155;0.71213;0.211909106;0;0.724266671;0.340633152;0;0.632375965;0.0001
64;1.15E-04;0.000114155;0;0.000216;0.000114155;7.05E-01;0.236415601;0;0.666342817;0.582056051;0;0.617124656;0.0001
65;0.000115133;0.000114155;0;0.000224;0.000114155;0.67098;0.223441574;0;0.724182089;0.573929614;0;0.527695298;0.0001
66;0.000111987;0.000114155;0;0.000198;0.000114155;0.65534;0.155688323;0;0.687079246;0.771672914;0;0.515251309;0.0001
67;0.000109414;0.000114155;0;1.37E-04;0.000114155;0.59875;0.082168837;0;0.776904214;0.895262477;0;0.417426983;0.0001
68;0.000127698;0.000114155;0;9.07E-05;0.000114155;0.56688;0.067753252;0;0.883518501;0.894246672;0;0.430581799;0.0001
69;1.31E-04;0.000114155;0;6.33E-05;0.000114155;0.07544;0.073519486;0;0.794341988;0.843795042;0;0.006910328;0.0001
70;1.31E-04;0.000114155;0;4.11E-05;0.000114155;0.0005;0.077844161;0;0.692182298;0.839393222;0;0;0.0001
71;1.26E-04;0.000114155;0;2.46E-05;0.000114155;0;0.064870135;0;0.710339007;0.369414282;0;0;0.0001
72;1.17E-04;0.000114155;0;8.08E-06;0.000114155;0;0.047571432;0;0.688799059;0.257337172;0;0;0.0001
73;1.08E-04;0.000114155;0;6.77E-06;0.000114155;0;0.038922081;0;0.703262401;0.238036884;0;0;0.0001
74;1.00E-04;0.000114155;0;3.75E-06;0.000114155;0;0.034597405;0;0.700894135;0.23498947;0;0;0.0001
75;9.34E-05;0.000114155;0;2.38E-06;0.000114155;0;0.033155847;0;0.689475707;0.24616332;0;0;0.0001
76;9.00E-05;0.000114155;0;8.30E-06;0.000114155;0;0.033155847;0;0.679114541;0.252258149;0;0;0.0001
77;8.87E-05;0.000114155;0;2.49E-05;0.000114155;0;0.031714288;0;0.692957622;0.250903743;0;0;0.0001
78;8.76E-05;0.000114155;0;6.93E-05;0.000114155;0;0.025948054;0;0.708393646;0.220429604;0;0;0.0001
79;8.53E-05;0.000114155;0;0.000143;0.000114155;0;0.025948054;0;0.708083516;0.222461212;0;0;0.0001
80;9.27E-05;0.000114155;0;0.00019;0.000114155;0;0.036038964;0;0.708985712;0.25056514;0;0;0.0001
81;1.09E-04;0.000114155;0;0.000168;0.000114155;0;0.061987017;0;0.707350481;0.46557712;0;0;0.0001
82;1.17E-04;0.000114155;0;0.000165;0.000114155;0.11573;0.086493513;0;0.690998164;0.497405665;0;0.108981626;0.0001
83;1.18E-04;0.000114155;0;0.000179;0.000114155;0.07144;0.100909098;0;0.69536818;0.509256719;0;0.018301571;0.0001
84;1.21E-04;0.000114155;0;0.000196;0.000114155;0.68595;0.116766242;0;0.70011881;0.512981335;0;0.666261765;0.0001
85;1.17E-04;0.000114155;0;0.000195;0.000114155;0.7401;0.13838962;0;0.672418548;0.523477983;0;0.774514567;0.0001
86;1.19E-04;0.000114155;0;0.000185;0.000114155;0.77199;0.15857144;0;0.708337258;0.497067064;0;0.870566323;0.0001
87;1.23E-04;0.000114155;0;0.000199;0.000114155;0.76825;0.188844169;0;0.712552209;0.495374056;0;0.900250139;0.0001
88;1.23E-04;0.000114155;0;0.000216;0.000114155;0.72369;0.203259755;0;0.729003205;0.499775875;0;0.75281182;0.0001
89;1.20E-04;0.000114155;0;0.000224;0.000114155;0.69176;0.177311701;0;0.691562037;0.498760071;0;0.605670428;0.0001
90;1.13E-04;0.000114155;0;0.000198;0.000114155;0.68312;0.108116891;0;0.715413864;0.741537377;0;0.579612734;0.0001
91;1.08E-04;0.000114155;0;1.37E-04;0.000114155;0.68252;0.080727279;0;0.785320019;0.877316595;0;0.615927945;0.0001
92;1.23E-04;0.000114155;0;9.07E-05;0.000114155;0.5499;0.074961044;0;0.897840876;0.880364008;0;0.416149292;0.0001
93;1.24E-04;0.000114155;0;6.33E-05;0.000114155;0.2808;0.070636369;0;0.826454555;0.878671;0;0.162905577;0.0001
94;1.20E-04;0.000114155;0;4.11E-05;0.000114155;0.00051;0.053337666;0;0.737559976;0.878332399;0;0;0.0001
95;1.13E-04;0.000114155;0;2.46E-05;0.000114155;0;0.034597405;0;0.716428836;0.602710745;0;0;0.0001
96;1.04E-04;0.000114155;0;8.08E-06;0.000114155;0;0.018740261;0;0.712524016;0.448647043;0;0;0.0001
97;9.75E-05;0.000114155;0;6.77E-06;0.000114155;0;0.011532468;0;0.545222898;0.22618583;0;0;0.0001
98;9.22E-05;0.000114155;0;3.75E-06;0.000114155;0;0.007207793;0;0.514083011;0.224831423;0;0;0.0001
99;8.91E-05;0.000114155;0;2.38E-06;0.000114155;0;0.004324676;0;0.517311184;0.225847229;0;0;0.0001
100;8.74E-05;0.000114155;0;8.30E-06;0.000114155;0;0.001441559;0;0.482449736;0.219413799;0;0;0.0001
101;8.68E-05;0.000114155;0;2.49E-05;0.000114155;0;0.001441559;0;0.482943126;0.217382191;0;0;0.0001
102;8.68E-05;0.000114155;0;6.93E-05;0.000114155;0;0.002883117;0;0.510854838;0.220429604;0;0;0.0001
103;8.77E-05;0.000114155;0;0.000143;0.000114155;0;0.002883117;0;0.418534731;0.22178401;0;0;0.0001
104;9.42E-05;0.000114155;0;0.00019;0.000114155;0;0.001441559;0;0.455820834;0.251580946;0;0;0.0001
105;0.000102592;0.000114155;0;0.000168;0.000114155;0;0.014415585;0;0.520384292;0.249549336;0;0;0.0001
106;0.000109633;0.000114155;0;0.000165;0.000114155;0.16404;0.041805198;0;0.537046739;0.253612554;0;0.155059476;0.0001
107;0.00011325;0.000114155;0;0.000179;0.000114155;0.27932;0.085051954;0;0.548380586;0.249549336;0;0.181171157;0.0001
108;0.000114781;0.000114155;0;0.000196;0.000114155;0.41959;0.142714296;0;0.560517952;0.253951157;0;0.24516367;0.0001
109;0.000110933;0.000114155;0;0.000195;0.000114155;0.60988;0.216233782;0;0.540289009;0.249210734;0;0.426514783;0.0001
110;0.000111344;0.000114155;0;0.000185;0.000114155;0.69001;0.302727294;0;0.532437078;0.208239948;0;0.531960266;0.0001
111;0.000111189;0.000114155;0;0.000199;0.000114155;0.64505;0.380571456;0;0.556063356;0.208917152;0;0.398279616;0.0001
112;0.000111333;0.000114155;0;0.000216;0.000114155;0.65609;0.402194834;0;0.555668644;0.425283536;0;0.403516349;0.0001
113;0.00010969;0.000114155;0;0.000224;0.000114155;0.48753;0.350298726;0;0.616411864;0.425283536;0;0.12512372;0.0001
114;0.000104547;0.000114155;0;0.000198;0.000114155;0.26092;0.193168845;0;0.58467991;0.737135557;0;0.005983552;0.0001
115;0.000103108;0.000114155;0;1.37E-04;0.000114155;0.05661;0.09946754;0;0.793002789;0.88510443;0;0;0.0001
116;0.00011785;0.000114155;0;9.07E-05;0.000114155;0.03276;0.121090918;0;0.784798436;0.891199258;0;0;0.0001
117;0.000118186;0.000114155;0;6.33E-05;0.000114155;0.00967;0.119649359;0;0.751318477;0.880025406;0;0;0.0001
118;0.000113997;0.000114155;0;4.11E-05;0.000114155;0.00053;0.111000008;0;0.663608032;0.877993798;0;0;0.0001
119;1.07E-04;0.000114155;0;2.46E-05;0.000114155;0;0.103792215;0;0.595633144;0.344357768;0;0;0.0001
120;9.77E-05;0.000114155;0;8.08E-06;0.000114155;0;0.067753252;0;0.572429769;0.227201635;0;0;0.0001
121;9.14E-05;0.000114155;0;6.77E-06;0.000114155;0;0.0591039;0;0.272632595;0.213318972;0;0;0.0001
122;8.65E-05;0.000114155;0;3.75E-06;0.000114155;0;0.054779225;0;0.321788222;0.212980371;0;0;0.0001
123;8.37E-05;0.000114155;0;2.38E-06;0.000114155;0;0.060545459;0;0.298880881;0.223815619;0;0;0.0001
124;8.22E-05;0.000114155;0;8.30E-06;0.000114155;0;0.060545459;0;0.304900226;0.208917152;0;0;0.0001
125;8.21E-05;0.000114155;0;2.49E-05;0.000114155;0;0.067753252;0;0.33907093;0.212303167;0;0;0.0001
126;8.28E-05;0.000114155;0;6.93E-05;0.000114155;0;0.07928572;0;0.415447528;0.211964566;0;0;0.0001
