{PERIODS};ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
1;1.27E-04;0.000114155;0;6.77E-06;0.000114155;0;0.18;0;0.763994132;0.174718395;0;0;0.0001
2;1.18E-04;0.000114155;0;3.75E-06;0.000114155;0;0.195;0;0.768910921;0.177088607;0;0;0.0001
3;1.09E-04;0.000114155;0;2.38E-06;0.000114155;0;0.238;0;0.77382771;0.180474622;0;0;0.0001
4;1.01E-04;0.000114155;0;8.30E-06;0.000114155;0;0.281;0;0.778744499;0.178104411;0;0;0.0001
5;9.82E-05;0.000114155;0;2.49E-05;0.000114155;0;0.304;0;0.783661288;0.192664277;0;0;0.0001
6;8.90E-05;0.000114155;0;6.93E-05;0.000114155;0.012;0.232;0;0.788578077;0.19537309;0;0;0.0001
7;7.69E-05;0.000114155;0;0.000143;0.000114155;0.146;0.104;0;0.793494865;0.198759106;0;0;0.0001
8;7.96E-05;0.000114155;0;0.00019;0.000114155;0.4884;0.037;0;0.798411654;0.193341481;0;0;0.0001
9;8.39E-05;0.000114155;0;0.000168;0.000114155;0.6994;0.011;0;0.803328443;0.254289758;0;0;0.0001
10;8.98E-05;0.000114155;0;0.000165;0.000114155;0.8516;0.004;0;0.808245232;0.236005275;0;0.424368697;0.0001
11;9.39E-05;0.000114155;0;0.000179;0.000114155;0.9122;0.006;0;0.813162021;0.178104411;0;0.677371262;0.0001
12;9.73E-05;0.000114155;0;0.000196;0.000114155;0.9062;0.03;0;0.81807881;0.209255752;0;0.663934958;0.0001
13;9.79E-05;0.000114155;0;0.000195;0.000114155;0.8594;0.156;0;0.822995599;0.223815619;0;0.453426674;0.0001
14;9.65E-05;0.000114155;0;0.000185;0.000114155;0.9596;0.233;0;0.827912388;0.224492823;0;0.36829921;0.0001
15;9.76E-05;0.000114155;0;0.000199;0.000114155;0.7506;0.316;0;0.832829177;0.440182005;0;0.268596457;0.0001
16;9.97E-05;0.000114155;0;0.000216;0.000114155;0.798;0.489;0;0.837745966;0.438827598;0;0.41923864;0.0001
17;1.01E-04;0.000114155;0;0.000224;0.000114155;0.5318;0.489;0;0.842662755;0.459482293;0;0.457232547;0.0001
18;1.02E-04;0.000114155;0;0.000198;0.000114155;0.1818;0.301;0;0.847579544;0.736458354;0;0.70967025;0.0001
19;1.04E-04;0.000114155;0;1.37E-04;0.000114155;0;0.102;0;0.852496332;0.891876461;0;0.355362947;0.0001
20;1.33E-04;0.000114155;0;9.07E-05;0.000114155;0;0.009;0;0.857413121;0.88273422;0;0.540804326;0.0001
21;1.46E-04;0.000114155;0;6.33E-05;0.000114155;0;0.005;0;0.86232991;0.871560368;0;0.311164819;0.0001
